State Code,State Name,Type,Age Group,Two Total,Two Male,Two Female,Three Total,Three Male,Three Female
7,DELHI,Rural,Total,93239,56168,37071,5474,3336,2138
7,DELHI,Rural,5-9,2392,1354,1038,54,26,28
7,DELHI,Rural,10-14,7829,4376,3453,339,195,144
7,DELHI,Rural,15-19,14895,8270,6625,839,453,386
7,DELHI,Rural,20-24,16227,8897,7330,801,457,344
7,DELHI,Rural,25-29,13103,7332,5771,726,406,320
7,DELHI,Rural,30-49,29067,18694,10373,1856,1165,691
7,DELHI,Rural,50-69,8428,6302,2126,684,484,200
7,DELHI,Rural,70+,1193,887,306,171,148,23
7,DELHI,Rural,Age not stated,105,56,49,4,2,2
7,DELHI,Urban,Total,5365742,2994777,2370965,1352759,738177,614582
7,DELHI,Urban,5-9,207860,112367,95493,28460,15165,13295
7,DELHI,Urban,10-14,460923,251412,209511,86034,45911,40123
7,DELHI,Urban,15-19,671805,366743,305062,135612,71329,64283
7,DELHI,Urban,20-24,748751,404495,344256,159108,82734,76374
7,DELHI,Urban,25-29,679695,365558,314137,155754,80099,75655
7,DELHI,Urban,30-49,1767266,1007322,759944,467648,253115,214533
7,DELHI,Urban,50-69,689298,408975,280323,258950,148910,110040
7,DELHI,Urban,70+,135429,75261,60168,60272,40417,19855
7,DELHI,Urban,Age not stated,4715,2644,2071,921,497,424
8,RAJASTHAN,Total,Total,6466435,3747078,2719357,1006751,642842,363909
8,RAJASTHAN,Total,5-9,463417,247252,216165,15735,8683,7052
8,RAJASTHAN,Total,10-14,886240,480209,406031,103809,58369,45440
8,RAJASTHAN,Total,15-19,941572,526286,415286,210941,123366,87575
8,RAJASTHAN,Total,20-24,843795,487286,356509,176163,108655,67508
8,RAJASTHAN,Total,25-29,676633,397180,279453,121262,78232,43030
8,RAJASTHAN,Total,30-49,1785517,1077355,708162,270694,186443,84251
8,RAJASTHAN,Total,50-69,687412,425716,261696,87696,64186,23510
8,RAJASTHAN,Total,70+,149293,87190,62103,15322,11678,3644
8,RAJASTHAN,Total,Age not stated,32556,18604,13952,5129,3230,1899
8,RAJASTHAN,Rural,Total,3637519,2179192,1458327,609507,414618,194889
8,RAJASTHAN,Rural,5-9,320569,170875,149694,8525,4726,3799
8,RAJASTHAN,Rural,10-14,621711,338168,283543,76554,43641,32913
8,RAJASTHAN,Rural,15-19,585654,334783,250871,156426,94328,62098
8,RAJASTHAN,Rural,20-24,468061,287429,180632,116000,77047,38953
8,RAJASTHAN,Rural,25-29,350082,220732,129350,71287,51087,20200
8,RAJASTHAN,Rural,30-49,888282,573829,314453,139446,109890,29556
8,RAJASTHAN,Rural,50-69,309236,198878,110358,32456,27362,5094
8,RAJASTHAN,Rural,70+,70099,40758,29341,5151,4146,1005
8,RAJASTHAN,Rural,Age not stated,23825,13740,10085,3662,2391,1271
