State Code,State Name,Age Group,TOT_P,TOT_M,TOT_F
22,CHHATTISGARH (22),30-34,1815058,898023,917035
22,CHHATTISGARH (22),35-39,1779414,891265,888149
22,CHHATTISGARH (22),40-44,1576553,796402,780151
22,CHHATTISGARH (22),45-49,1334374,692974,641400
22,CHHATTISGARH (22),50-54,992947,510326,482621
22,CHHATTISGARH (22),55-59,789353,389338,400015
22,CHHATTISGARH (22),60-64,743742,348956,394786
22,CHHATTISGARH (22),65-69,533810,244336,289474
22,CHHATTISGARH (22),70-74,373000,174249,198751
22,CHHATTISGARH (22),75-79,166578,75545,91033
22,CHHATTISGARH (22),80+,186779,85073,101706
22,CHHATTISGARH (22),Age not stated,23115,12107,11008
23,MADHYA PRADESH (23),All ages,72626809,37612306,35014503
23,MADHYA PRADESH (23),0-4,7471286,3874247,3597039
23,MADHYA PRADESH (23),5-9,8266455,4309693,3956762
23,MADHYA PRADESH (23),10-14,8564501,4439329,4125172
23,MADHYA PRADESH (23),15-19,7446789,3980072,3466717
23,MADHYA PRADESH (23),20-24,6727579,3554088,3173491
23,MADHYA PRADESH (23),25-29,5787506,2988325,2799181
23,MADHYA PRADESH (23),30-34,5214960,2650705,2564255
23,MADHYA PRADESH (23),35-39,4861671,2493464,2368207
23,MADHYA PRADESH (23),40-44,4214474,2193888,2020586
23,MADHYA PRADESH (23),45-49,3522961,1838798,1684163
23,MADHYA PRADESH (23),50-54,2694372,1446522,1247850
23,MADHYA PRADESH (23),55-59,2058077,1030243,1027834
23,MADHYA PRADESH (23),60-64,1987410,989463,997947
23,MADHYA PRADESH (23),65-69,1427061,680005,747056
23,MADHYA PRADESH (23),70-74,1107421,545246,562175
23,MADHYA PRADESH (23),75-79,523355,244807,278548
23,MADHYA PRADESH (23),80+,668069,310035,358034
23,MADHYA PRADESH (23),Age not stated,82862,43376,39486
24,GUJARAT (24),All ages,60439692,31491260,28948432
24,GUJARAT (24),0-4,5460332,2871890,2588442
24,GUJARAT (24),5-9,5835836,3126401,2709435
24,GUJARAT (24),10-14,6149445,3283834,2865611
24,GUJARAT (24),15-19,5865760,3146110,2719650
24,GUJARAT (24),20-24,5780722,3046127,2734595
24,GUJARAT (24),25-29,5278822,2767283,2511539
24,GUJARAT (24),30-34,4770528,2467024,2303504
24,GUJARAT (24),35-39,4341225,2258335,2082890
24,GUJARAT (24),40-44,3865476,1993876,1871600
24,GUJARAT (24),45-49,3314013,1711872,1602141
24,GUJARAT (24),50-54,2697183,1409273,1287910
24,GUJARAT (24),55-59,2054947,1038088,1016859
24,GUJARAT (24),60-64,1727752,851259,876493
24,GUJARAT (24),65-69,1170072,550002,620070
24,GUJARAT (24),70-74,899677,417522,482155
24,GUJARAT (24),75-79,439996,196341,243655
24,GUJARAT (24),80+,549062,230477,318585
24,GUJARAT (24),Age not stated,238844,125546,113298
25,DAMAN & DIU (25),All ages,243247,150301,92946
25,DAMAN & DIU (25),0-4,19158,10020,9138
25,DAMAN & DIU (25),5-9,18506,9828,8678
25,DAMAN & DIU (25),10-14,17321,9300,8021
25,DAMAN & DIU (25),15-19,26314,18239,8075
25,DAMAN & DIU (25),20-24,38584,27925,10659
25,DAMAN & DIU (25),25-29,33181,22044,11137
25,DAMAN & DIU (25),30-34,24031,15314,8717
25,DAMAN & DIU (25),35-39,19550,12255,7295
25,DAMAN & DIU (25),40-44,13601,8384,5217
