Sr No,Name,District_Key,State_Code,TOT_P,TOT_M,TOT_F
319,Hoshangabad,MP_Hoshangabad,MP,1241350,648725,592625
320,Indore,MP_Indore,MP,3276697,1699627,1577070
321,Jabalpur,MP_Jabalpur,MP,2463289,1277278,1186011
322,Jhabua,MP_Jhabua,MP,1025048,515023,510025
323,Katni,MP_Katni,MP,1292042,662013,630029
324,Khandwa,MP_Khandwa,MP,1310061,674329,635732
325,Khargone,MP_Khargone,MP,1873046,953121,919925
326,Mandla,MP_Mandla,MP,1054905,525272,529633
327,Mandsaur,MP_Mandsaur,MP,1340411,682851,657560
328,Morena,MP_Morena,MP,1965970,1068417,897553
329,Narsinghpur,MP_Narsinghpur,MP,1091854,568810,523044
330,Neemuch,MP_Neemuch,MP,826067,422653,403414
331,Panna,MP_Panna,MP,1016520,533480,483040
332,Raisen,MP_Raisen,MP,1331597,700358,631239
333,Rajgarh,MP_Rajgarh,MP,1545814,790212,755602
334,Ratlam,MP_Ratlam,MP,1455069,738241,716828
335,Rewa,MP_Rewa,MP,2365106,1225100,1140006
336,Sagar,MP_Sagar,MP,2378458,1256257,1122201
337,Satna,MP_Satna,MP,2228935,1157495,1071440
338,Sehore,MP_Sehore,MP,1311332,683743,627589
339,Seoni,MP_Seoni,MP,1379131,695879,683252
340,Shahdol,MP_Shahdol,MP,1066063,540021,526042
341,Shajapur,MP_Shajapur,MP,1512681,780520,732161
342,Sheopur,MP_Sheopur,MP,687861,361784,326077
343,Shivpuri,MP_Shivpuri,MP,1726050,919795,806255
344,Sidhi,MP_Sidhi,MP,1127033,575912,551121
345,Singrauli,MP_Singrauli,MP,1178273,613637,564636
346,Tikamgarh,MP_Tikamgarh,MP,1445166,760355,684811
347,Ujjain,MP_Ujjain,MP,1986864,1016289,970575
348,Umaria,MP_Umaria,MP,644758,330674,314084
349,Vidisha,MP_Vidisha,MP,1458875,769568,689307
351,Aizawl,MZ_Aizawl,MZ,400309,199270,201039
352,Champhai,MZ_Champhai,MZ,125745,63388,62357
353,Kolasib,MZ_Kolasib,MZ,83955,42918,41037
354,Lawngtlai,MZ_Lawngtlai,MZ,117894,60599,57295
355,Lunglei,MZ_Lunglei,MZ,161428,82891,78537
356,Mamit,MZ_Mamit,MZ,86364,44828,41536
357,Saiha,MZ_Saiha,MZ,56574,28594,27980
358,Serchhip,MZ_Serchhip,MZ,64937,32851,32086
360,Dimapur,NL_Dimapur,NL,378811,197394,181417
361,Kiphire,NL_Kiphire,NL,74004,37830,36174
362,Kohima,NL_Kohima,NL,267988,138966,129022
363,Longleng,NL_Longleng,NL,50484,26502,23982
364,Mokokchung,NL_Mokokchung,NL,194622,101092,93530
365,Mon,NL_Mon,NL,250260,131753,118507
366,Peren,NL_Peren,NL,95219,49714,45505
367,Phek,NL_Phek,NL,163418,83743,79675
368,Tuensang,NL_Tuensang,NL,196596,101933,94663
369,Wokha,NL_Wokha,NL,166343,84505,81838
370,Zunheboto,NL_Zunheboto,NL,140757,71217,69540
372,Angul,OR_Angul,OR,1273821,655718,618103
373,Balangir,OR_Balangir,OR,1648997,830097,818900
374,Balasore,OR_Balasore,OR,2320529,1185787,1134742
375,Bargarh,OR_Bargarh,OR,1481255,749161,732094
376,Bhadrak,OR_Bhadrak,OR,1506337,760260,746077
377,Boudh,OR_Boudh,OR,441162,221625,219537
378,Cuttack,OR_Cuttack,OR,2624470,1352760,1271710
379,Deogarh,OR_Deogarh,OR,312520,158230,154290
380,Dhenkanal,OR_Dhenkanal,OR,1192811,612593,580218
381,Gajapati,OR_Gajapati,OR,577817,282882,294935
382,Ganjam,OR_Ganjam,OR,3529031,1779218,1749813
383,Jagatsinghpur,OR_Jagatsinghpur,OR,1136971,577865,559106
384,Jajpur,OR_Jajpur,OR,1827192,926034,901158
385,Jharsuguda,OR_Jharsuguda,OR,579505,296690,282815
386,Kalahandi,OR_Kalahandi,OR,1576869,787101,789768
387,Kandhamal,OR_Kandhamal,OR,733110,359945,373165
388,Kendrapara,OR_Kendrapara,OR,1440361,717814,722547
389,Kendujhar,OR_Kendujhar,OR,1801733,906487,895246
390,Khordha,OR_Khordha,OR,2251673,1167137,1084536
391,Koraput,OR_Koraput,OR,1379647,678809,700838
392,Malkangiri,OR_Malkangiri,OR,613192,303624,309568
393,Mayurbhanj,OR_Mayurbhanj,OR,2519738,1256213,1263525
394,Nabarangapur,OR_Nabarangapur,OR,1220946,604812,616134
395,Nayagarh,OR_Nayagarh,OR,962789,502636,460153
396,Nuapada,OR_Nuapada,OR,610382,301962,308420
397,Puri,OR_Puri,OR,1698730,865380,833350
398,Rayagada,OR_Rayagada,OR,967911,471960,495951
399,Sambalpur,OR_Sambalpur,OR,1041099,526877,514222
400,Subarnapur,OR_Subarnapur,OR,610183,311312,298871
401,Sundargarh,OR_Sundargarh,OR,2093437,1061147,1032290
403,Amritsar,PB_Amritsar,PB,2490656,1318408,1172248
404,Barnala,PB_Barnala,PB,595527,317522,278005
405,Bathinda,PB_Bathinda,PB,1388525,743197,645328
406,Faridkot,PB_Faridkot,PB,617508,326671,290837
407,Fatehgarh Sahib,PB_Fatehgarh Sahib,PB,600163,320795,279368
408,Ferozepur,PB_Ferozepur,PB,2029074,1071637,957437
409,Gurdaspur,PB_Gurdaspur,PB,2298323,1212617,1085706
410,Hoshiarpur,PB_Hoshiarpur,PB,1586625,809057,777568
411,Jalandhar,PB_Jalandhar,PB,2193590,1145211,1048379
412,Kapurthala,PB_Kapurthala,PB,815168,426311,388857
413,Ludhiana,PB_Ludhiana,PB,3498739,1867816,1630923
414,Mansa,PB_Mansa,PB,769751,408732,361019
415,Moga,PB_Moga,PB,995746,525920,469826
416,Patiala,PB_Patiala,PB,1895686,1002522,893164
417,Rupnagar,PB_Rupnagar,PB,684627,357485,327142
418,S.A.S. Nagar,PB_S.A.S. Nagar,PB,994628,529253,465375
419,Sangrur,PB_Sangrur,PB,1655169,878029,777140
