districtid,dose1,dose2
JK_Baramulla,416972,119086
JK_Budgam,306171,98272
JK_Doda,201478,43023
JK_Ganderbal,138709,42795
JK_Jammu,708347,326209
JK_Kathua,305603,82214
JK_Kishtwar,104384,30335
JK_Kulgam,212587,60790
JK_Kupwara,360343,61850
JK_Pulwama,250054,71257
JK_Punch,253523,45015
JK_Rajouri,311010,58764
JK_Ramban,164429,48470
JK_Reasi,182715,37381
JK_Samba,192423,64506
JK_Shopiyan,120875,42797
JK_Srinagar,491067,129708
JK_Udhampur,307165,79284
KA_Bagalkote,666263,185496
KA_Ballari,973001,282814
KA_Belagavi,1607939,441241
KA_Bengaluru Rural,442923,118743
KA_Bengaluru Urban,7266879,2056687
KA_Bidar,607557,151287
KA_Chamarajanagara,401294,109583
KA_Chikkaballapura,516241,155959
KA_Chikkamagaluru,390779,166404
KA_Chitradurga,622725,212319
KA_Dakshina Kannada,995723,312039
KA_Davanagere,616395,154013
KA_Dharwad,727618,202268
KA_Gadag,373068,124221
KA_Hassan,687676,228659
KA_Haveri,466969,116038
KA_Kalaburagi,748220,184076
KA_Kodagu,239592,88071
KA_Kolar,686763,160867
KA_Koppal,486052,137214
KA_Mandya,739819,211164
KA_Mysuru,1439154,503350
KA_Raichur,574133,143759
KA_Ramanagara,484874,183849
KA_Shivamogga,656044,212328
KA_Tumakuru,1018182,275555
KA_Udupi,602003,220650
KA_Uttara Kannada,569628,196730
KA_Vijayapura,725529,179674
KA_Yadgir,363470,122734
KL_Alappuzha,1028799,448687
KL_Ernakulam,2224434,746159
KL_Idukki,621941,216041
KL_Kannur,1233668,504665
KL_Kasaragod,643799,281687
KL_Kollam,1317338,505635
KL_Kottayam,1065420,419359
KL_Kozhikode,1506847,585900
KL_Malappuram,1392683,561718
KL_Palakkad,1209589,421076
KL_Pathanamthitta,879870,382059
KL_Thiruvananthapuram,1956718,743861
KL_Thrissur,1604112,631094
KL_Wayanad,602929,210762
LA_Kargil,82806,29998
LA_Leh,106738,43146
LD_Lakshadweep,51678,17875
MH_Ahmednagar,1011849,398032
MH_Akola,431235,167155
MH_Amravati,691945,251834
MH_Aurangabad,997526,333225
MH_Beed,611046,190611
MH_Bhandara,466308,153751
MH_Buldhana,658434,229351
MH_Chandrapur,581665,169035
MH_Dhule,534289,169102
MH_Gadchiroli,287000,69355
MH_Gondia,556283,144089
MH_Hingoli,244675,59051
MH_Jalgaon,831831,271794
MH_Jalna,524102,157856
MH_Kolhapur,1281809,700029
MH_Latur,615138,203039
MH_Mumbai,6172182,2075554
MH_Nagpur,1972699,698551
MH_Nanded,676287,225318
MH_Nandurbar,427114,108510
MH_Nashik,1554169,548271
MH_Osmanabad,371815,125176
MH_Palghar,602411,216487
MH_Parbhani,449647,147665
MH_Pune,5097847,1772882
MH_Raigad,753151,245866
MH_Ratnagiri,419058,136049
MH_Sangli,1021917,429256
MH_Satara,1026535,440653
MH_Sindhudurg,292018,107470
MH_Solapur,824685,301349
MH_Thane,2898733,1064471
MH_Wardha,444166,143957
MH_Washim,387976,142456
MH_Yavatmal,670593,216553
ML_East Garo Hills,38923,10342
ML_East Jaintia Hills,53696,13228
ML_East Khasi Hills,287508,85234
ML_North Garo Hills,51585,11143
ML_Ribhoi,79535,17223
ML_South Garo Hills,31422,9316
ML_South West Garo Hills,62781,15253
ML_South West Khasi Hills,30515,6384
ML_West Garo Hills,191042,47880
ML_West Jaintia Hills,76300,21453
ML_West Khasi Hills,67307,22131
MP_Agar Malwa,267448,36016
MP_Alirajpur,243897,31867
MP_Anuppur,302374,43844
MP_Ashoknagar,333756,54473
MP_Balaghat,680574,117674
MP_Barwani,460531,63043
