districtid,vaccinateddose1ratio,vaccinateddose2ratio
MH_Sangli,0.3621067394529618,0.15210285233597307
AP_Prakasam,0.3631034235108234,0.1518171874889623
HR_Rohtak,0.3633919585678154,0.11017203101382958
MP_Chhatarpur,0.36344818781473864,0.055104617348748136
MP_Rewa,0.36412997979794565,0.07125346601801356
HR_Karnal,0.3643773699216913,0.12774990633245734
NL_Kohima,0.36493798229771485,0.09453035210531816
Assam,0.36628239132647317,0.07828408615178262
JH_Koderma,0.3685636061815628,0.06930174699375505
MP_Khargone,0.37044098222894684,0.059445416716941285
GJ_Jamnagar,0.3713929649246176,0.11987024788912093
PB_Jalandhar,0.37162095013197544,0.13021029454000063
UP_Lucknow,0.37343583804047115,0.11932469076250621
AP_East Godavari,0.37425809460690657,0.10718689807492623
KA_Shivamogga,0.3742934686176546,0.12113971563591676
OR_Deogarh,0.3744464354281326,0.07388327147062589
AP_Chittoor,0.37524532446076536,0.15353478049210553
KA_Chitradurga,0.3752585184542404,0.12794494099271086
RJ_Ganganagar,0.3770028763416834,0.13558924378214557
MP_Tikamgarh,0.3771774315199776,0.06559384873433224
OR_Koraput,0.3790426101749216,0.08918803143122843
MP_Katni,0.3798498810410188,0.06183699910684018
KA_Tumakuru,0.38006330767680235,0.10285817736601244
RJ_Bharatpur,0.38022972286814555,0.09607559382874847
AP_Srikakulam,0.38080080973277486,0.12466066913937036
JK_Bandipora,0.38092251524607884,0.1020289012625181
TR_West Tripura,0.3820699422102647,0.1642560085853075
RJ_Barmer,0.3837697998003649,0.1111696164494992
MP_Panna,0.384471530319128,0.03861114390272695
MP_Umaria,0.38662412874287716,0.053741093557582845
GJ_Kheda,0.3869271724455788,0.11630320646467106
KA_Hassan,0.38711318994765315,0.128718924173943
CT_Dhamtari,0.3882350293392816,0.11428003415935112
MH_Bhandara,0.38848187254547484,0.12809018156613075
RJ_Dungarpur,0.38898795291785976,0.10005170854242405
AP_Krishna,0.3891660641811946,0.12343145323923196
RJ_Udaipur,0.39007404462231376,0.1207073998996226
HR_Mahendragarh,0.3907381941853706,0.11549765315241062
AP_S.P.S. Nellore,0.3911913960149914,0.17839677117733857
NL_Longleng,0.3922628951747088,0.11974090801045877
RJ_Jalore,0.3926200149830757,0.09619681418252012
MP_Vidisha,0.39266900865392856,0.06955153800017136
MH_Aurangabad,0.39271548494866093,0.13118717454183404
MP_Guna,0.39303627250166934,0.059933033646686035
KA_Chamarajanagara,0.39312062900241085,0.10735106402779805
RJ_Pali,0.3931967100074451,0.12682294082224294
OR_Subarnapur,0.3933016816266595,0.08225892887871343
AP_Vizianagaram,0.39350958893124854,0.09384493067528153
OR_Puri,0.3938395154026832,0.09772182748288427
KA_Dharwad,0.3939409525490479,0.10951027680759795
MP_Chhindwara,0.39434517404283853,0.07434806272065625
TR_North Tripura,0.3948168952383972,0.1280702993168066
MP_Ashoknagar,0.3949443301213744,0.06445967261922371
HR_Rewari,0.39564849411106123,0.14060479911854737
KA_Uttara Kannada,0.3963542213894121,0.1368871719331547
MP_Seoni,0.39648227760814597,0.06873603740326335
KA_Ballari,0.39672306271520574,0.11531214896874535
JK_Srinagar,0.39703710052076724,0.10487140906301518
HR_Sonipat,0.3971514502403791,0.13194611589923042
RJ_Bhilwara,0.3994506176606991,0.11737774561422083
MP_Balaghat,0.39993817939493376,0.06915093042361219
RJ_Baran,0.40010141033976554,0.10437168525174707
RJ_Alwar,0.40043013690949736,0.144393073935701
MP_Mandsaur,0.4011560633268453,0.06774563921066001
RJ_Churu,0.40245603558044996,0.12063070868187886
RJ_Banswara,0.40331852560661147,0.108158899796104
MP_Anuppur,0.40357590455356585,0.05851819918130044
RJ_Dholpur,0.40462621299676094,0.10183702495449708
RJ_Hanumangarh,0.4047322014186124,0.12057021725459967
RJ_Karauli,0.4048275739106105,0.09785578310410849
GJ_Amreli,0.40586518204452543,0.14655690501192056
RJ_Sawai Madhopur,0.40603166782848427,0.1053333043814875
JK_Budgam,0.40619970945080897,0.13037831096723693
MP_Raisen,0.4064337783879057,0.061487071538911545
HR_Jhajjar,0.40672888810054203,0.11249210928574037
KA_Mandya,0.40969747514770716,0.11693854529566074
Manipur,0.411123141234977,0.09326653112934616
KA_Chikkaballapura,0.41131332542960586,0.12425982229361072
WB_Darjeeling,0.4131884863898706,0.14574271600472813
JK_Baramulla,0.41364669422512423,0.11813630226608296
JK_Kupwara,0.41401889346174087,0.07106303871757928
RJ_Nagaur,0.4144971359624977,0.16870960047379738
RJ_Sirohi,0.41451407155525277,0.13679408228525994
RJ_Rajsamand,0.4147287257359305,0.09937169126324899
MP_Damoh,0.41540112907652865,0.056462527457663586
RJ_Dausa,0.4171238655685327,0.08702350513243626
AP_West Godavari,0.4172997684003367,0.10972002298216443
RJ_Chittorgarh,0.41859230298030614,0.12049499526658024
RJ_Jodhpur,0.4186840024788693,0.1519991646698751
MH_Gondia,0.42062764129036745,0.1089514081967052
